"wav_filename","normalized_wav_key","dtl_path","line_number","dialog_snippet","confidence","ratio","second_ratio","notes"
"166abletoearn.wav","abletoearn","intro_sequence.dtl","278","...and I was able to earn a 4.0 GPA.","substring","","",""
"259absolutely.wav","absolutely","intro_sequence.dtl","412","Absolutely...","exact","","",""
"43aflowercantbloom.wav","aflowercantbloom","intro_sequence.dtl","80","Sweetheart, a flower can't bloom if it doesn't have roots in the dirt.","substring","","",""
"147ajobapplicant.wav","ajobapplicant","intro_sequence.dtl","246","A job applicant. I see.","prefix","","",""
"250allwewantis.wav","allwewantis","intro_sequence.dtl","402","All we want is for you to grow and really bloom, Marzi.","prefix","","",""
"37althoughasale.wav","althoughasale","intro_sequence.dtl","65","Although...a sale you say...","prefix","","",""
"35amazingsale.wav","amazingsale","intro_sequence.dtl","61","...AND THERE WAS AN AMAZING SALE!","substring","","",""
"102amidreaming.wav","amidreaming","intro_sequence.dtl","175","Am...am I dreaming?!","substring","","",""
"7amonthago.wav","amonthago","intro_sequence.dtl","14","A month ago, I did the impossible.","prefix","","",""
"203andforheaven.wav","andforheaven","intro_sequence.dtl","324","And for heaven's sake, don't you dare touch a single utensil until you have earned the right.","prefix","","",""
"216andidont.wav","andidont","intro_sequence.dtl","340","And I don't have to go live in the woods!","prefix","","",""
"157andidontknow.wav","andidontknow","intro_sequence.dtl","266","And I don't know If I would have chosen THAT outfit for introductions with a prospective employer...","prefix","","",""
"143andisreplaced.wav","andisreplaced","day_0.dtl","138","I remember reading that in the world of high-end confectionery, the layout is less like a standard workspace and more like a precision laboratory or a choreographed workshop.","subsequence","","",""
"248andithink.wav","andithink","intro_sequence.dtl","398","...and I think you kind of catastrophized that whole tent in the woods scenario...","prefix","","",""
"173andmarzicantell.wav","andmarzicantell","intro_sequence.dtl","285","...and Marzi can tell she is being sized up in ways she doesn't comprehend.","prefix","","",""
"177andmyentirelegacy.wav","andmyentirelegacy","intro_sequence.dtl","292","...And my entire legacy crumbles.","prefix","","",""
"238andobviously.wav","andobviously","intro_sequence.dtl","382","And obviously Madame Sweets knows what she's doing.","prefix","","",""
"251andyouwerent.wav","andyouwerent","intro_sequence.dtl","403","And you weren't growing all alone up in that attic.","prefix","","",""
"64anyconfectioner.wav","anyconfectioner","intro_sequence.dtl","112","Any confectioner who knows their salt from their sugar knows that...","prefix","","",""
"125apleasureto.wav","apleasureto","intro_sequence.dtl","202","A pleasure to meet you.","prefix","","",""
"140apleasureto.wav","apleasureto","day_0.dtl","698","The floors are mopped so thoroughly you could eat spun sugar right off the marble, but I think my arms have turned into jelly.","subsequence","","",""
"142ararityin.wav","ararityin","intro_sequence.dtl","223","A rarity in today's youth.","prefix","","",""
"50arealroutine.wav","arealroutine","intro_sequence.dtl","89","A real routine.","exact","","",""
"211arfirstshe.wav","arfirstshe","day_0.dtl","810","You'll need to purchase refills for that, but you can buy them though me at a discount since I buy them in bulk.","subsequence","","",""
"41atleastyou.wav","atleastyou","day_0.dtl","702","You’re late, but at least you’re still upright!","substring","","",""
"218backhome.wav","backhome","intro_sequence.dtl","543","She turns off the faucet and heads back up to her bedroom in the attic.","subsequence","","",""
"154beatrixgestures.wav","beatrixgestures","intro_sequence.dtl","262","Beatrix gestures sharply towards the overstuffed portfolio, which has a few rogue formula sketches sticking out of the zipper.","prefix","","",""
"205beatrixhands.wav","beatrixhands","day_0.dtl","857","(Back at the Glacé home, Marzi is struggling to tape a box stuffed with her leftover boutique candies).","subsequence","","",""
"151beatrixholds.wav","beatrixholds","intro_sequence.dtl","303","Hold.","substring","","",""
"142beatrixradiant.wav","beatrixradiant","intro_sequence.dtl","201","I am Madame Beatrix Von Sweets, owner and operator of this humble establishment.","subsequence","","",""
"186beatrixsighs.wav","beatrixsighs","intro_sequence.dtl","304","Beatrix sighs, rubbing her temples as if fighting a chronic headache.","prefix","","",""
"26beright.wav","beright","intro_sequence.dtl","41","BE RIGHT THERE DAD!","prefix","","",""
"136boldpalette.wav","boldpalette","intro_sequence.dtl","216","You must have a very bold palette.","substring","","",""
"10buticouldstay.wav","buticouldstay","intro_sequence.dtl","17","...but I could stay in the zone for ten hours straight if there was a sugar sculpture on the line.","prefix","","",""
"208butididit.wav","butididit","intro_sequence.dtl","333","But I did it!!","exact","","",""
"120butididnt.wav","butididnt","intro_sequence.dtl","195","But I didn't think it was literally magical!","prefix","","",""
"158butidothink.wav","butidothink","intro_sequence.dtl","268","But I do think my customers would enjoy your style...","prefix","","",""
"66butihave.wav","butihave","intro_sequence.dtl","115","...but I have.","exact","","",""
"137butimactually.wav","butimactually","intro_sequence.dtl","235","But I'm actually not a customer.","prefix","","",""
"58butimnot.wav","butimnot","intro_sequence.dtl","101","But I'm not.","exact","","",""
"42butitsreally.wav","butitsreally","day_0.dtl","830","AL!","substring","","",""
"253butremember.wav","butremember","intro_sequence.dtl","405","But remember Marzi-","prefix","","",""
"63butthatswhere.wav","butthatswhere","intro_sequence.dtl","111","But that's where the legendary confectionery, The Gilded Macaron is.","prefix","","",""
"269butwhatificant.wav","butwhatificant","intro_sequence.dtl","429","But what if I can't?","exact","","",""
"69butwhatifmyportfolio.wav","butwhatifmyportfolio","intro_sequence.dtl","118","B...But what if my portfolio isn't good enough?","substring","","",""
"39butyoureright.wav","butyoureright","intro_sequence.dtl","70","But you're right, Dad.","prefix","","",""
"45butyourresearch.wav","butyourresearch","intro_sequence.dtl","81","We love your passion, but your 'research' drained your entire savings...","substring","","",""
"31candy.wav","candy","intro_sequence.dtl","49","...candy?","exact","","",""
"59candyiwantcandytoomarzi.wav","candyiwantcandytoomarzi","intro_sequence.dtl","104","CANDY!!! I WANT CANDY TOO MARZI!!","exact","","",""
"87chaitosses.wav","chaitosses","intro_sequence.dtl","552","She finds the app Chai installed for her last semester.","subsequence","","",""
"149comeonmarzi.wav","comeonmarzi","day_0.dtl","419","Come on.","prefix","","",""
"25coming.wav","coming","day_0.dtl","813","Just the right size for an up and coming young lady, right?","substring","","",""
"249considerita.wav","considerita","intro_sequence.dtl","401","Consider it an investment in your roots.","prefix","","",""
"285daddyimdying.wav","daddyimdying","intro_sequence.dtl","459","Daddy! I'm dying! Help me!","prefix","","",""
"20days.wav","days","day_0.dtl","845","The rent is paid every 10 days through the online portal.","substring","","",""
"29decimalpoint.wav","decimalpoint","intro_sequence.dtl","47","Marzi. Please tell me the decimal point on this statement is an error!","substring","","",""
"212dididosomethingwrong.wav","dididosomethingwrong","intro_sequence.dtl","337","Did I do something wrong?","exact","","",""
"30didyoureally.wav","didyoureally","intro_sequence.dtl","48","Did you really spend your entire graduation fund on...","prefix","","",""
"123dostepright.wav","dostepright","intro_sequence.dtl","200","Do step right in, please!","prefix","","",""
"162doyoureally.wav","doyoureally","intro_sequence.dtl","272","Do you really think you can work to the high standards required to keep The Gilded Macaron's flawless reputation?","prefix","","",""
"54endofthe.wav","endofthe","intro_sequence.dtl","90","If you don't have a paying position by the end of the month...","substring","","",""
"214evenso.wav","evenso","intro_sequence.dtl","339","Even so! This is the opportunity of a lifetime!","prefix","","",""
"2everyonecallsme.wav","everyonecallsme","intro_sequence.dtl","9","Everyone just calls me Marzi though.","subsequence","","",""
"267everythingishappening.wav","everythingishappening","intro_sequence.dtl","427","Everything is happening really fast...","prefix","","",""
"89gogetem.wav","gogetem","intro_sequence.dtl","149","Go get 'em, confectionery genius.","prefix","","",""
"152greenislightning.wav","greenislightning","intro_sequence.dtl","232","Green is lightning, white is hail, you get the picture.","prefix","","",""
"61haveyoubeento.wav","haveyoubeento","intro_sequence.dtl","108","Have you been to Starlight City before?","prefix","","",""
"278help.wav","help","intro_sequence.dtl","448","HELP!","exact","","",""
"279helpme.wav","helpme","intro_sequence.dtl","449","HELP ME!","exact","","",""
"172hereyesbore.wav","hereyesbore","intro_sequence.dtl","284","Her eyes bore into the core of Marzi's soul...","prefix","","",""
"1hiyanice.wav","hiyanice","intro_sequence.dtl","7","Hiya! Nice to meetcha!!","prefix","","",""
"133hiyanice.wav","hiyanice","intro_sequence.dtl","310","The display cases need daily cleaning.","subsequence","","",""
"185hold.wav","hold","day_0.dtl","570","I’m actually doing it! I’m holding my own.","substring","","",""
"33howamisupposed.wav","howamisupposed","intro_sequence.dtl","53","How am I supposed to revolutionize the confectionery world if I don't study the perfect matcha ganache?","prefix","","",""
"191howeverthecopper.wav","howeverthecopper","intro_sequence.dtl","308","However the copper cauldrons require hand-polishing.","prefix","","",""
"124Iammadame.wav","iammadame","intro_sequence.dtl","234","Oh wow, that is such a tempting offer Madame Sweets.","subsequence","","",""
"140ibroughtmy.wav","ibroughtmy","intro_sequence.dtl","238","I brought my portfolio and my confectionery school diploma!","prefix","","",""
"262icanbe.wav","icanbe","intro_sequence.dtl","415","I can be...","exact","","",""
"261icanbeanadult.wav","icanbeanadult","intro_sequence.dtl","414","I can be an adult...","exact","","",""
"260icanbedisciplined.wav","icanbedisciplined","intro_sequence.dtl","413","I can be disciplined...","exact","","",""
"86icandothis.wav","icandothis","intro_sequence.dtl","144","I can do this!","exact","","",""
"217icantwait.wav","icantwait","intro_sequence.dtl","341","I can't wait to tell Chai!","prefix","","",""
"95icantwaitto.wav","icantwaitto","intro_sequence.dtl","164","I can't wait to make something like that.","prefix","","",""
"72idontevenown.wav","idontevenown","intro_sequence.dtl","123","I DON'T EVEN OWN A TENT!","prefix","","",""
"57idsayim.wav","idsayim","intro_sequence.dtl","100","I'd say i'm surprised you spent all that money on candy...","prefix","","",""
"148ifeelsosmall.wav","ifeelsosmall","intro_sequence.dtl","249","I feel so small right now...what happened to make her switch like that?","prefix","","",""
"201ifyouarelate.wav","ifyouarelate","intro_sequence.dtl","321","If you are late, I will find another applicant.","prefix","","",""
"51ifyoudonthave.wav","ifyoudonthave","day_0.dtl","514","Sometimes doing this kind of work doesn't feel great right away, and you don't have to force yourself to feel positive about it.","subsequence","","",""
"194ifyouwant.wav","ifyouwant","intro_sequence.dtl","311","If you want to stand a chance at surviving in my prep room-","prefix","","",""
